Itr,MaxReturn,MinReturn,EnvExecTime,Average reward,PolicyExecTime,StdReturn,Average latency,NumTrajs,Average greedy latency,AverageDiscountedReturn,AverageReturn
0,-2.591406030283508,-18.937318389373182,0.9082801342010498,-8.427594568557758,2.4773688316345215,2.838232923926587,439956.05851899536,10000,6195532.836998662,-7.743053834484076,-8.429074520065752
1,-2.6427090145011056,-17.974874148783275,0.8555183410644531,-8.571724774466164,2.4809248447418213,2.6981345516322324,15099864.75678863,10000,6223498.552701073,-7.948272182572003,-8.647482026889806
2,-2.9878096729392873,-17.574447302438323,0.8560750484466553,-8.683041505071076,2.487957239151001,2.7548205337660967,487421908.8948176,10000,216400903.92246205,-8.09228303617234,-8.800390441095892
3,-2.9292439854218397,-18.211277240300983,0.8443765640258789,-9.078449936460075,2.503559112548828,2.7978915887911313,501533.539373192,10000,210587294.82262135,-8.326913990719822,-9.06320491234426
4,-2.364676369705887,-18.1118546377225,0.849111795425415,-9.194549624856002,2.5036327838897705,2.8236453647249875,509510.10896932794,10000,210370758.19459143,-8.34167785239908,-9.074909294276527
5,-2.9786438275649636,-18.198768688974685,0.846104621887207,-9.283962396057218,2.491020441055298,2.7936682939836315,507348947.6829913,10000,210605340.70156208,-8.498522145972107,-9.253503243268204
6,-2.580962779913359,-18.6270917907181,0.8394691944122314,-9.245296021256037,2.478064775466919,2.865368619101893,521493063.5886466,10000,210311690.40076753,-8.57297317101505,-9.336756150101582
7,-3.181693026144591,-18.714651646087983,0.8576526641845703,-9.250562030450679,2.5023481845855713,2.8482309298036728,666754.1586398676,10000,6326421.84489022,-8.573453602169614,-9.337503943702982
8,-3.373058119355573,-18.527023385140268,0.8350632190704346,-9.327742198401042,2.477560043334961,2.8631939822876773,460368.98120389116,10000,379039.18184433796,-8.608488628793525,-9.372999868821065
9,-3.1269552551134003,-18.6270917907181,0.8361592292785645,-9.499273688675679,2.4931654930114746,2.8525431708414715,514193872.45694005,10000,216490679.66795585,-8.5748063754024,-9.336090691970327
10,-3.0180688844643884,-17.97430762449008,0.8455276489257812,-9.083064162800781,2.4879822731018066,2.7875129790032505,966361.1401565367,10000,6519594.459416319,-8.346673482465556,-9.080996814813874
11,-2.6535030026862705,-18.111208833604806,0.8589956760406494,-8.646310794107983,2.4832651615142822,2.675103664445016,341414.9281431637,10000,6240029.549761398,-7.933378889617548,-8.6259704647425
