Itr,NumTrajs,PolicyExecTime,StdReturn,AverageDiscountedReturn,Average greedy latency,EnvExecTime,Average latency,MaxReturn,Average reward,MinReturn,AverageReturn
0,10000,1.5321569442749023,1.4882017180389169,-6.210355150544448,811.1722513979366,0.8920204639434814,1032.0419843948882,-2.5929478331572815,-7.117905947756566,-11.994830710072412,-6.741134090881076
1,10000,1.5001027584075928,1.3156339703111648,-6.37243326456552,809.6248311768804,0.8808114528656006,1007.61693277659,-2.811801212675683,-7.036675893918775,-12.14140362696043,-6.9125673350611905
2,10000,1.5066781044006348,1.3828189529689792,-6.327057137955603,817.4449722525734,0.8729090690612793,935.458495287007,-2.728794337830308,-6.509290783623101,-12.865985523545152,-6.84484459265313
3,10000,1.4957621097564697,1.393125553762696,-6.533508342650078,830.8534435999599,0.8916566371917725,1008.1509327928761,-2.7778700059575328,-6.957494491013494,-12.41874651123154,-7.067422387181426
4,10000,1.498429536819458,1.4773626027345605,-6.491408650205977,829.1206216278485,0.8982503414154053,957.2129879378155,-2.660780669052794,-6.641559605995711,-12.22871221295668,-7.031631382786152
5,10000,1.5042533874511719,1.4401713202954562,-6.33546421678527,816.7699888491086,0.8809137344360352,967.4217855211396,-2.8597594945093627,-6.662707310416089,-11.834096513949506,-6.866370760853195
6,10000,1.4727766513824463,1.3564158833159632,-6.487793244186985,823.6921346099582,0.8952515125274658,992.230263310585,-3.1036118048098453,-6.9549619562757625,-12.321152874655896,-7.029135106154323
7,10000,1.505110740661621,1.4320594633314225,-6.528947181458549,827.7496604905946,0.8912332057952881,1058.704619673571,-2.6455403210077377,-7.445557186697823,-12.70069628657628,-7.073326327485058
8,10000,1.495987892150879,1.4652804938745283,-6.08741208309279,814.3211566498757,0.8980557918548584,933.4073375115395,-2.555209952681066,-6.468459741407303,-12.550967844252991,-6.587647452779836
9,10000,1.4861602783203125,1.4496645538605648,-6.322871358150517,814.11172461398,0.9269392490386963,967.0669429959679,-2.67603360563039,-6.6843476024559525,-13.189025226946347,-6.8534354258404475
10,10000,1.4989013671875,1.6592455479241837,-6.615648008535785,824.06505647692,0.9254581928253174,1001.1033377408874,-2.4187866187631766,-6.962663217081144,-13.744369966745504,-7.179301640276568
